NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ENERGYSTARScore,Latitude,Longitude,BuildingAge,RT_Avenue,RT_Other,RT_Street,RT_Way,PP_K-12 School,PP_Large Office,PP_Mixed Use Property,PP_Non-Refrigerated Warehouse,PP_Other,PP_Retail Store,PP_Small- and Mid-Sized Office,PP_Warehouse,SiteEnergyUse(kBtu),TotalGHGEmissions
1.0,1.0,50832.0,50832.0,63.0,47.56549,-122.33221,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2551022.25,107.16
1.0,2.0,22320.0,22320.0,48.5,47.61340332,-122.32035065,108.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196410.0,4.33
1.0,1.0,37351.0,37351.0,8.0,47.5103068,-122.28119226,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2465266.0,70.16
1.0,3.0,20992.0,20992.0,61.25,47.60133568,-122.3098298,102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1997115.0,81.38
1.0,3.0,25262.0,25262.0,76.0,47.65015243,-122.3572523,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1069292.0,13.57
1.0,1.0,20236.0,20236.0,81.0,47.72285088,-122.3406273,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1991234.0,47.81
1.0,3.0,43832.0,30794.0,67.0,47.625,-122.35627747,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3678939.0,128.39
1.0,1.0,49950.0,49950.0,77.0,47.57382,-122.32672,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,238969.7031,1.67
6.0,10.0,879000.0,879000.0,10.0,47.66231,-122.28146,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,253832464.0,8145.52
1.0,1.0,20993.0,20993.0,54.0,47.59524558,-122.3229473,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,912558.0,12.28
1.0,1.0,160000.0,160000.0,89.0,47.55774104,-122.3353165,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1476506.0,10.29
1.0,37.0,1052469.0,888049.0,93.0,47.60566548,-122.33261347,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41655852.0,290.4
1.0,0.0,947987.0,507802.0,94.25,47.61287405,-122.335276,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48143224.0,335.63
1.0,3.0,31432.0,31432.0,31.0,47.60104706,-122.3254265,106.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1426023.0,9.94
1.0,3.0,29636.0,29636.0,53.75,47.66097,-122.3139,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,688641.8125,4.8
1.0,4.0,49249.0,49249.0,53.0,47.61720922,-122.35464542,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29540052.0,1084.49
1.0,6.0,74211.0,74211.0,97.0,47.60120521,-122.3351985,113.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1391569.0,9.7
1.0,2.0,122679.0,122679.0,75.0,47.64835098,-122.3616099,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10813735.0,311.53
